V1 V2
561 MAP2K6 TNF
562 DDIT3 HSPB1
563 MAP2K6 DDIT3
564 DDIT3 MYC
565 PLA2G1B DDIT3
566 MAP2K6 HSPB1
567 HSPB1 MYC
568 PLA2G1B HSPB1
569 MAP2K6 MYC
570 PLA2G1B MAP2K6
571 PLA2G1B MYC
572 CEBPA FOS
573 JUN CEBPA
574 MAP2K6 CEBPA
575 CEBPA MAP4K1
576 MYC CEBPA
577 JUN FOS
578 MAP2K6 FOS
579 FOS MAP4K1
580 MYC FOS
581 JUN MAP4K1
582 JUN MYC
583 MAP2K6 MAP4K1
584 MYC MAP4K1
585 DUSP1 DUSP2
586 DUSP1 DUSP4
587 DUSP1 DUSP6
588 DUSP1 DUSP8
589 DUSP2 DUSP4
590 DUSP2 DUSP6
591 DUSP2 DUSP8
592 DUSP4 DUSP6
593 DUSP4 DUSP8
594 DUSP6 DUSP8
595 DUSP1 CXCL8
596 CXCL8 IL1B
597 MAP2K6 CXCL8
598 CXCL8 MUC5AC
599 NFKBIA CXCL8
600 CXCL8 TGFB2
601 CXCL8 TGFB3
602 CXCL8 TLR2
603 CXCL8 TNF
604 DUSP1 IL1B
605 MAP2K6 DUSP1
606 DUSP1 MUC5AC
607 NFKBIA DUSP1
608 DUSP1 TGFB2
609 DUSP1 TGFB3
610 DUSP1 TLR2
611 DUSP1 TNF
612 MAP2K6 IL1B
613 IL1B MUC5AC
614 NFKBIA IL1B
615 IL1B TGFB2
616 IL1B TGFB3
617 IL1B TLR2
618 IL1B TNF
619 MAP2K6 MUC5AC
620 NFKBIA MAP2K6
621 MAP2K6 TGFB2
622 MAP2K6 TGFB3
623 MAP2K6 TLR2
624 NFKBIA MUC5AC
625 MUC5AC TGFB2
626 MUC5AC TGFB3
627 MUC5AC TLR2
628 MUC5AC TNF
629 NFKBIA TGFB2
630 NFKBIA TGFB3
631 NFKBIA TLR2
632 NFKBIA TNF
633 TGFB2 TGFB3
634 TGFB2 TLR2
635 TGFB2 TNF
636 TGFB3 TLR2
637 TGFB3 TNF
638 TLR2 TNF
639 TGFB2 CDH1
640 TGFB3 CDH1
641 BMP2 BMP4
642 BMP2 BMP5
643 BMP2 BMP7
644 BMP2 GATA4
645 BMP2 MYL2
646 BMP2 NOG
647 BMP2 NPPA
648 BMP2 NPPB
649 BMP2 SMAD6
650 TGFB2 BMP2
651 TGFB3 BMP2
652 BMP4 BMP5
653 BMP4 BMP7
654 BMP4 GATA4
655 BMP4 MYL2
656 BMP4 NOG
657 BMP4 NPPA
658 BMP4 NPPB
659 BMP4 SMAD6
660 TGFB2 BMP4
661 TGFB3 BMP4
662 BMP5 BMP7
663 BMP5 GATA4
664 BMP5 MYL2
665 BMP5 NOG
666 BMP5 NPPA
667 BMP5 NPPB
668 BMP5 SMAD6
669 TGFB2 BMP5
670 TGFB3 BMP5
671 BMP7 GATA4
672 BMP7 MYL2
673 BMP7 NOG
674 BMP7 NPPA
675 BMP7 NPPB
676 BMP7 SMAD6
677 TGFB2 BMP7
678 TGFB3 BMP7
679 GATA4 MYL2
680 GATA4 NOG
681 GATA4 NPPA
682 GATA4 NPPB
683 GATA4 SMAD6
684 TGFB2 GATA4
685 TGFB3 GATA4
686 MYL2 NOG
687 MYL2 NPPA
688 MYL2 NPPB
689 MYL2 SMAD6
690 TGFB2 MYL2
691 TGFB3 MYL2
692 NOG NPPA
693 NOG NPPB
694 NOG SMAD6
695 TGFB2 NOG
696 TGFB3 NOG
697 NPPA NPPB
698 NPPA SMAD6
699 TGFB2 NPPA
700 TGFB3 NPPA
701 NPPB SMAD6
702 TGFB2 NPPB
703 TGFB3 NPPB
704 TGFB2 SMAD6
705 TGFB3 SMAD6
706 CD79A CD79B
707 CD79A CDKN2A
708 MYC CD79A
709 CD79A PIK3R1
710 SMAD6 CD79A
711 TGFB2 CD79A
712 TGFB3 CD79A
713 CD79B CDKN2A
714 MYC CD79B
715 CD79B PIK3R1
716 SMAD6 CD79B
717 TGFB2 CD79B
718 TGFB3 CD79B
719 MYC CDKN2A
720 CDKN2A PIK3R1
721 SMAD6 CDKN2A
722 TGFB2 CDKN2A
723 TGFB3 CDKN2A
724 MYC PIK3R1
725 MYC SMAD6
726 MYC TGFB2
727 MYC TGFB3
728 SMAD6 PIK3R1
729 TGFB2 PIK3R1
730 TGFB3 PIK3R1
731 TNFRSF13B TNFRSF17
732 TNFRSF13B TNFSF13B
733 TNFRSF17 TNFSF13B
734 NFKBIA LTA
735 LTA TNFAIP3
736 NFKBIA TNFAIP3
737 NFKBIA CD40LG
738 TNFAIP3 CD40LG
739 NFKBIA IL1R1
740 IL1R1 TLR4
741 IL1R1 TNF
742 NFKBIA TLR4
743 TLR4 TNF
744 FOS IL1B
745 FOS IL1R1
746 FOS IL1RN
747 IL6 FOS
748 FOS IRAK2
749 FOS IRAK3
750 NFKBIA FOS
751 FOS TGFB2
752 FOS TGFB3
753 FOS TNF
754 IL1B IL1R1
755 IL1B IL1RN
756 IL6 IL1B
757 IL1B IRAK2
758 IL1B IRAK3
759 JUN IL1B
760 IL1R1 IL1RN
761 IL6 IL1R1
762 IL1R1 IRAK2
763 IL1R1 IRAK3
764 JUN IL1R1
765 MAP2K6 IL1R1
766 TGFB2 IL1R1
767 TGFB3 IL1R1
768 IL6 IL1RN
769 IL1RN IRAK2
770 IL1RN IRAK3
771 JUN IL1RN
772 MAP2K6 IL1RN
773 NFKBIA IL1RN
774 TGFB2 IL1RN
775 TGFB3 IL1RN
776 TNF IL1RN
