V1 V2
705 ANGPT1 CTLA4
706 CTSK ANGPT1
707 CXCL1 ANGPT1
708 ANGPT1 CXCL12
709 ANGPT1 CXCL5
710 ANGPT1 CXCL6
711 CXCL8 ANGPT1
712 ANGPT1 FLT1
713 ANGPT1 FOS
714 ANGPT1 HLA-DMB
715 ANGPT1 HLA-DOA
716 ANGPT1 HLA-DOB
717 ANGPT1 HLA-DPA1
718 ANGPT1 HLA-DPB1
719 ANGPT1 HLA-DQA1
720 ANGPT1 HLA-DQB1
721 ANGPT1 HLA-DRA
722 ANGPT1 HLA-DRB1
723 ANGPT1 HLA-DRB5
724 ANGPT1 ICAM1
725 ANGPT1 IFNG
726 ANGPT1 IL18
727 ANGPT1 IL1B
728 ANGPT1 IL6
729 ANGPT1 ITGAL
730 ANGPT1 ITGB2
731 JUN ANGPT1
732 ANGPT1 LTB
733 ANGPT1 MMP1
734 ANGPT1 MMP3
735 ANGPT1 TGFB2
736 ANGPT1 TGFB3
737 ANGPT1 TLR2
738 ANGPT1 TLR4
739 ANGPT1 TNF
740 ANGPT1 TNFRSF11A
741 ANGPT1 TNFSF13B
742 ANGPT1 VEGFA
743 CCL2 CCL20
744 CCL2 CCL3
745 CCL2 CCL3L1
746 CCL5 CCL2
747 CCL2 CD28
748 CCL2 CD80
749 CCL2 CD86
750 CCL2 CSF1
751 CCL2 CTLA4
752 CTSK CCL2
753 CXCL1 CCL2
754 CCL2 CXCL12
755 CCL2 CXCL5
756 CCL2 CXCL6
757 CXCL8 CCL2
758 CCL2 FLT1
759 CCL2 FOS
760 CCL2 HLA-DMB
761 CCL2 HLA-DOA
762 CCL2 HLA-DOB
763 CCL2 HLA-DPA1
764 CCL2 HLA-DPB1
765 CCL2 HLA-DQA1
766 CCL2 HLA-DQB1
767 CCL2 HLA-DRA
768 CCL2 HLA-DRB1
769 CCL2 HLA-DRB5
770 CCL2 ICAM1
771 CCL2 IFNG
772 CCL2 IL18
773 CCL2 IL1B
774 CCL2 IL6
775 CCL2 ITGAL
776 CCL2 ITGB2
777 JUN CCL2
778 CCL2 LTB
779 CCL2 MMP1
780 CCL2 MMP3
781 CCL2 TGFB2
782 CCL2 TGFB3
783 CCL2 TLR2
784 CCL2 TLR4
785 CCL2 TNF
786 CCL2 TNFRSF11A
787 CCL2 TNFSF13B
788 CCL2 VEGFA
789 CCL20 CCL3
790 CCL20 CCL3L1
791 CCL5 CCL20
792 CCL20 CD28
793 CCL20 CD80
794 CCL20 CD86
795 CCL20 CSF1
796 CCL20 CTLA4
797 CTSK CCL20
798 CXCL1 CCL20
799 CCL20 CXCL12
800 CCL20 CXCL5
801 CCL20 CXCL6
802 CXCL8 CCL20
803 CCL20 FLT1
804 CCL20 FOS
805 CCL20 HLA-DMB
806 CCL20 HLA-DOA
807 CCL20 HLA-DOB
808 CCL20 HLA-DPA1
809 CCL20 HLA-DPB1
810 CCL20 HLA-DQA1
811 CCL20 HLA-DQB1
812 CCL20 HLA-DRA
813 CCL20 HLA-DRB1
814 CCL20 HLA-DRB5
815 CCL20 ICAM1
816 CCL20 IFNG
817 CCL20 IL18
818 CCL20 IL1B
819 CCL20 IL6
820 CCL20 ITGAL
821 CCL20 ITGB2
822 JUN CCL20
823 CCL20 LTB
824 CCL20 MMP1
825 CCL20 MMP3
826 CCL20 TGFB2
827 CCL20 TGFB3
828 CCL20 TLR2
829 CCL20 TLR4
830 CCL20 TNF
831 CCL20 TNFRSF11A
832 CCL20 TNFSF13B
833 CCL20 VEGFA
834 CCL3 CCL3L1
835 CCL5 CCL3
836 CCL3 CD28
837 CCL3 CD80
838 CCL3 CD86
839 CCL3 CSF1
840 CCL3 CTLA4
841 CTSK CCL3
842 CXCL1 CCL3
843 CCL3 CXCL12
844 CCL3 CXCL5
845 CCL3 CXCL6
846 CXCL8 CCL3
847 CCL3 FLT1
848 CCL3 FOS
