"","smrin","sme2mprt","smchmprs","smntrart","smnumgps","smmaprt","smexncrt","sm550nrm","smgnsdtc","smunmprt","sm350nrm","smrdlgth","smmncpb","sme1mmrt","smsflgth","smestlbs","smmppd","smnterrt","smrrnanm","smrdttl","smvqcfl","smmncv","smtrscpt","smmppdpr","smcglgth","smgappct","smunpdrd","smntrnrt","smmpunrt","smexpeff","smmppdun","sme2mmrt","sme2anti","smaltalg","sme2snse","smmflgth","sme1anti","smspltrd","smbsmmrt","sme1snse","sme1pcts","smrrnart","sme1mprt","smnum5cd","smdpmprt","sme2pcts"
"smsflgth",-0.0691492408514023,0.249930143356323,0.35738730430603,0.217302441596985,-0.455297380685806,0.250788003206253,0.2515809237957,-0.0178751163184643,0.250665605068207,-0.143794134259224,-0.00974925421178341,-0.0598824992775917,0.735229134559631,-0.0979857295751572,1,0.205581426620483,0.868707895278931,-0.21673184633255,0.141860440373421,0.67966091632843,0.0253663305193186,0.00547773996368051,0.209547251462936,0.892160594463348,-0.378265589475632,-0.344249546527863,-0.121427029371262,-0.219032794237137,0.0166497118771076,0.408068120479584,0.399681478738785,-0.214648097753525,0.880948066711426,0.440705120563507,0.875568687915802,0.954258680343628,0.842954516410828,0.7831751704216,-0.357943594455719,0.843791723251343,0.0380688235163689,-0.091637872159481,0.258737623691559,0.40742814540863,0.143794134259224,0.0188947040587664
"smestlbs",0.34979835152626,0.225693002343178,0.577625393867493,-0.326648443937302,-0.590659499168396,0.184809446334839,-0.568721055984497,0.350843548774719,0.575392723083496,0.899974346160889,0.275011986494064,-0.0431845299899578,0.591817557811737,0.0656068995594978,0.205581426620483,1,0.107715986669064,0.325575709342957,0.127973303198814,-0.0487563498318195,-0.185090184211731,-0.192858010530472,0.519898533821106,0.114401012659073,-0.557640969753265,-0.624546766281128,0.00194451189599931,0.599727749824524,0.925353467464447,-0.188345313072205,0.954566597938538,-0.316388815641403,0.02518973313272,-0.468315631151199,0.00553006120026112,0.0354523994028568,-0.0227265898138285,-0.17090205848217,-0.248519822955132,-0.0223920810967684,-0.0397649593651295,0.171155512332916,0.138134688138962,0.579058587551117,-0.899974346160889,-0.531028985977173
"smmppd",-0.131275475025177,0.142089083790779,0.342721551656723,0.146220609545708,-0.425036668777466,0.144484207034111,0.259334802627563,-0.00977764278650284,0.242495536804199,-0.293584525585175,-0.0671420395374298,-0.065889798104763,0.696409106254578,0.0968770906329155,0.868707895278931,0.107715986669064,1,-0.145082652568817,0.296683669090271,0.858856737613678,0.151743158698082,-0.00666307890787721,0.174398005008698,0.989095687866211,-0.366392940282822,-0.32451269030571,0.0607292167842388,-0.274559259414673,-0.131834581494331,0.362587511539459,0.340954214334488,-0.0319475084543228,0.972179472446442,0.614500463008881,0.971528232097626,0.900460243225098,0.974832832813263,0.905942499637604,-0.114320941269398,0.974701941013336,0.0206400658935308,0.00254360656253994,0.151892423629761,0.383583664894104,0.293584525585175,0.126933604478836
"smnterrt",0.154594913125038,-0.252400279045105,0.228109195828438,-0.999967396259308,0.11111294478178,-0.289002239704132,-0.705103754997253,0.0681744292378426,0.226733908057213,0.370741456747055,0.199940413236618,0.0333900973200798,-0.0333401076495647,0.0371236875653267,-0.21673184633255,0.325575709342957,-0.145082652568817,1,0.777866005897522,-0.0475572980940342,0.0660829618573189,0.215220242738724,0.0739864185452461,-0.164948523044586,0.0895866379141808,0.0350243113934994,0.0806983336806297,0.409515917301178,0.267733484506607,-0.582527458667755,0.282132744789124,0.149789482355118,-0.284684479236603,-0.324127584695816,-0.292992800474167,-0.319319635629654,-0.273453742265701,-0.352135330438614,0.088506281375885,-0.277641206979752,-0.140032812952995,0.853910863399506,-0.322441786527634,-0.0194639936089516,-0.370741456747055,-0.231551632285118
"smrrnanm",-0.101418733596802,-0.165686741471291,0.261232614517212,-0.776876509189606,-0.0292387343943119,-0.184012919664383,-0.361633211374283,-0.0885185375809669,0.186503425240517,-0.000600809929892421,0.0466170385479927,0.0347257032990456,0.218888163566589,0.133083254098892,0.141860440373421,0.127973303198814,0.296683669090271,0.777866005897522,1,0.339116990566254,0.14997810125351,0.221265107393265,0.0498570464551449,0.26944774389267,-0.0308551285415888,-0.0350419096648693,0.137745797634125,0.0523260198533535,-0.000804638490080833,-0.247965469956398,0.208846390247345,0.137956947088242,0.178376108407974,0.196850955486298,0.175882309675217,0.102407328784466,0.203310802578926,0.151157170534134,0.0570348352193832,0.200339570641518,-0.119244664907455,0.920404076576233,-0.195051684975624,0.0971711874008179,0.000600809929892421,-0.00295561319217086
"smrdttl",-0.196071475744247,-0.230739489197731,0.355384439229965,0.0484934076666832,-0.201753854751587,-0.231039986014366,0.176320418715477,-0.0865707993507385,0.258989155292511,-0.383484393358231,-0.0647589713335037,-0.0552049651741982,0.48995703458786,0.0417506545782089,0.67966091632843,-0.0487563498318195,0.858856737613678,-0.0475572980940342,0.339116990566254,1,0.349811345338821,0.131315618753433,0.169875025749207,0.805896699428558,-0.154107794165611,-0.11876168102026,0.218728959560394,-0.221871063113213,-0.365241438150406,0.0336095727980137,0.169545039534569,0.268518954515457,0.782560586929321,0.561135947704315,0.788657665252686,0.707451820373535,0.853501796722412,0.775196850299835,0.101837582886219,0.847341477870941,-0.0881727635860443,-0.00985869951546192,-0.220812782645226,0.150845676660538,0.383484393358231,0.290705412626266
"smvqcfl",-0.264452010393143,-0.581396400928497,0.0906273126602173,-0.0660461932420731,0.173157751560211,-0.483759343624115,0.03639892116189,-0.118598774075508,0.14246928691864,-0.208245784044266,-0.0333547368645668,-0.020034059882164,-0.105295941233635,0.0185096506029367,0.0253663305193186,-0.185090184211731,0.151743158698082,0.0660829618573189,0.14997810125351,0.349811345338821,1,0.128852874040604,0.120106548070908,0.0890938490629196,0.162163868546486,0.166783183813095,0.264692068099976,-0.0651324242353439,-0.324576735496521,-0.255363196134567,-0.145357847213745,0.449832856655121,0.0823289528489113,0.176641672849655,0.0942656770348549,0.0393929854035378,0.17862243950367,0.162955701351166,0.325425863265991,0.179884359240532,0.155371651053429,0.0424370691180229,-0.342385143041611,-0.188969239592552,0.208245784044266,0.341508150100708
"smmncv",-0.366429567337036,-0.297476053237915,-0.011564752086997,-0.215993642807007,0.571497917175293,-0.295110374689102,0.128010869026184,-0.354875028133392,-0.26815789937973,-0.18347279727459,0.104633055627346,-0.065889798104763,-0.00143628963269293,0.0143170300871134,0.00547773996368051,-0.192858010530472,-0.00666307890787721,0.215220242738724,0.221265107393265,0.131315618753433,0.128852874040604,1,-0.396049350500107,-0.0211610049009323,0.626347124576569,0.627350747585297,0.0150306494906545,-0.293619513511658,-0.258502870798111,-0.122349336743355,-0.177592217922211,0.340567886829376,-0.0569090954959393,-0.0237314980477095,-0.0488593503832817,-0.0345702357590199,-0.0296454932540655,0.00962739065289497,0.243709787726402,-0.0323559567332268,-0.0717230513691902,0.189890936017036,-0.28334704041481,-0.521252751350403,0.18347279727459,0.221985921263695
"smtrscpt",0.248122096061707,-0.0508564226329327,0.665178656578064,-0.0755208656191826,-0.513785779476166,-0.0661716386675835,-0.445777297019958,0.179415628314018,0.956939220428467,0.422134071588516,0.316134989261627,-0.0494173504412174,0.205198466777802,-0.0198181290179491,0.209547251462936,0.519898533821106,0.174398005008698,0.0739864185452461,0.0498570464551449,0.169875025749207,0.120106548070908,-0.396049350500107,1,0.148776978254318,-0.533105909824371,-0.599340975284576,0.13309870660305,0.556627929210663,0.410640478134155,-0.291227370500565,0.544227182865143,-0.0580733567476273,0.102377012372017,-0.215071499347687,0.0954180806875229,0.0894484296441078,0.114357434213161,-0.0390291251242161,-0.0943197533488274,0.115364715456963,0.0349598675966263,-0.00131895486265421,-0.0767296999692917,0.430216640233994,-0.422134071588516,-0.251161605119705
"smmppdpr",-0.109205968677998,0.214208409190178,0.305290549993515,0.166128784418106,-0.437159240245819,0.214160576462746,0.274440854787827,-0.00230577378533781,0.208795785903931,-0.282193452119827,-0.0686999186873436,-0.0632185861468315,0.704581797122955,0.0768578052520752,0.892160594463348,0.114401012659073,0.989095687866211,-0.164948523044586,0.26944774389267,0.805896699428558,0.0890938490629196,-0.0211610049009323,0.148776978254318,1,-0.376227915287018,-0.33376681804657,-0.0569206401705742,-0.286570340394974,-0.0987639427185059,0.420192301273346,0.344035148620605,-0.101681992411613,0.985195219516754,0.598167657852173,0.982575535774231,0.924054324626923,0.962147772312164,0.899107813835144,-0.172159224748611,0.963595926761627,0.0439677648246288,-0.00221226154826581,0.219880819320679,0.40067195892334,0.282193452119827,0.0861785635352135
"smcglgth",-0.223580181598663,-0.38064256310463,-0.389753788709641,-0.0895933583378792,0.940904319286346,-0.371010929346085,0.202849134802818,-0.33812204003334,-0.499240607023239,-0.382824093103409,-0.0686527863144875,-0.0311641022562981,-0.540855944156647,-0.0945168808102608,-0.378265589475632,-0.557640969753265,-0.366392940282822,0.0895866379141808,-0.0308551285415888,-0.154107794165611,0.162163868546486,0.626347124576569,-0.533105909824371,-0.376227915287018,1,0.977691650390625,-0.0191660951822996,-0.314775466918945,-0.50999528169632,-0.175112023949623,-0.626599252223969,0.39944788813591,-0.36297994852066,-0.117560490965843,-0.349871963262558,-0.347599685192108,-0.324278920888901,-0.222064480185509,0.294959515333176,-0.328395128250122,-0.0930252373218536,0.0231209099292755,-0.352213025093079,-0.872690737247467,0.382824093103409,0.334070205688477
"smgappct",-0.287401556968689,-0.359344452619553,-0.436888098716736,-0.0348315574228764,0.919549345970154,-0.345650970935822,0.295491337776184,-0.334546744823456,-0.570782721042633,-0.460819035768509,-0.0930767059326172,-0.0391777157783508,-0.51670229434967,-0.0803744941949844,-0.344249546527863,-0.624546766281128,-0.32451269030571,0.0350243113934994,-0.0350419096648693,-0.11876168102026,0.166783183813095,0.627350747585297,-0.599340975284576,-0.33376681804657,0.977691650390625,1,-0.0176752731204033,-0.412052422761917,-0.575909614562988,-0.0976287499070168,-0.681750237941742,0.396080851554871,-0.309892773628235,-0.0329330451786518,-0.295999825000763,-0.298100799322128,-0.270651519298553,-0.150507539510727,0.298429548740387,-0.274396955966949,-0.0796164125204086,0.00550455786287785,-0.322454631328583,-0.851530969142914,0.460819035768509,0.374962151050568
"smunpdrd",-0.115454196929932,-0.237564563751221,0.144914343953133,-0.0805541053414345,-0.0163893699645996,-0.216746032238007,-0.0490940324962139,-0.0102443816140294,0.157788991928101,-0.029167678207159,0.0468429513275623,-0.00816037226468325,0.00871877651661634,0.0965950638055801,-0.121427029371262,0.00194451189599931,0.0607292167842388,0.0806983336806297,0.137745797634125,0.218728959560394,0.264692068099976,0.0150306494906545,0.13309870660305,-0.0569206401705742,-0.0191660951822996,-0.0176752731204033,1,0.0443853139877319,-0.11171992868185,-0.206899538636208,0.0210671164095402,0.229313254356384,-0.0674984082579613,0.111711956560612,-0.0616438537836075,-0.116096146404743,0.0380553230643272,0.0615568831562996,0.208145394921303,0.0337126031517982,-0.112977378070354,0.0354309938848019,-0.234996035695076,-0.0353116355836391,0.029167678207159,0.141850084066391
"smntrnrt",0.345481544733047,-0.1632249802351,0.475285768508911,-0.411447644233704,-0.28040137887001,-0.202947035431862,-0.912895977497101,0.301027327775955,0.593412756919861,0.699565172195435,0.336739629507065,0.0409585200250149,-0.0765209272503853,-0.0701692253351212,-0.219032794237137,0.599727749824524,-0.274559259414673,0.409515917301178,0.0523260198533535,-0.221871063113213,-0.0651324242353439,-0.293619513511658,0.556627929210663,-0.286570340394974,-0.314775466918945,-0.412052422761917,0.0443853139877319,1,0.573995530605316,-0.676179468631744,0.500733494758606,-0.0115519994869828,-0.373883098363876,-0.673390686511993,-0.386628597974777,-0.356444835662842,-0.384652197360992,-0.587993264198303,-0.0125606637448072,-0.386749982833862,-0.0606639161705971,0.13565394282341,-0.247415080666542,0.238239631056786,-0.699565172195435,-0.408246099948883
"smmpunrt",0.376218289136887,0.375414073467255,0.39935240149498,-0.268882900476456,-0.526282370090485,0.339851230382919,-0.522064864635468,0.371892839670181,0.42711991071701,0.929947435855865,0.248766154050827,-0.0151368444785476,0.428600281476974,0.0547685995697975,0.0166497118771076,0.925353467464447,-0.131834581494331,0.267733484506607,-0.000804638490080833,-0.365241438150406,-0.324576735496521,-0.258502870798111,0.410640478134155,-0.0987639427185059,-0.50999528169632,-0.575909614562988,-0.11171992868185,0.573995530605316,1,-0.0857183188199997,0.828737318515778,-0.454167425632477,-0.170024663209915,-0.562035441398621,-0.190164551138878,-0.136912509799004,-0.248709619045258,-0.353567063808441,-0.315279304981232,-0.245836436748505,0.0214539971202612,0.157045662403107,0.295202493667603,0.541462063789368,-0.929947435855865,-0.596981108188629
"smexpeff",-0.130170226097107,0.717686772346497,-0.307603031396866,0.584158062934875,-0.207464665174484,0.756138384342194,0.758147597312927,-0.0560825131833553,-0.381136178970337,-0.33913853764534,-0.265314817428589,-0.0538693591952324,0.348935931921005,0.0964702293276787,0.408068120479584,-0.188345313072205,0.362587511539459,-0.582527458667755,-0.247965469956398,0.0336095727980137,-0.255363196134567,-0.122349336743355,-0.291227370500565,0.420192301273346,-0.175112023949623,-0.0976287499070168,-0.206899538636208,-0.676179468631744,-0.0857183188199997,1,-0.10418763756752,-0.491319000720978,0.508131384849548,0.546999990940094,0.507377982139587,0.516286253929138,0.441549837589264,0.576910972595215,-0.348426848649979,0.450666576623917,0.177945122122765,-0.270653694868088,0.782188296318054,0.22581484913826,0.33913853764534,0.0629701763391495
"smmppdun",0.299146175384521,0.238707587122917,0.646068930625916,-0.282984256744385,-0.669878542423248,0.200554475188255,-0.479778677225113,0.327577620744705,0.618915379047394,0.757908582687378,0.238293990492821,-0.0454105362296104,0.737895429134369,0.0717267021536827,0.399681478738785,0.954566597938538,0.340954214334488,0.282132744789124,0.208846390247345,0.169545039534569,-0.145357847213745,-0.177592217922211,0.544227182865143,0.344035148620605,-0.626599252223969,-0.681750237941742,0.0210671164095402,0.500733494758606,0.828737318515778,-0.10418763756752,1,-0.302811175584793,0.254135280847549,-0.278095334768295,0.235684350132942,0.251617461442947,0.210693314671516,0.0558986514806747,-0.265847414731979,0.210651397705078,-0.0235924180597067,0.175006702542305,0.159098580479622,0.645682990550995,-0.757908582687378,-0.479464918375015
"sme2mmrt",-0.16787326335907,-0.785752654075623,0.0445583909749985,-0.150542929768562,0.406971633434296,-0.782387793064117,-0.0589554868638515,-0.220283538103104,0.0151623096317053,-0.2750284075737,0.0610372684895992,-0.0414037220180035,-0.303662657737732,0.167696744203568,-0.214648097753525,-0.316388815641403,-0.0319475084543228,0.149789482355118,0.137956947088242,0.268518954515457,0.449832856655121,0.340567886829376,-0.0580733567476273,-0.101681992411613,0.39944788813591,0.396080851554871,0.229313254356384,-0.0115519994869828,-0.454167425632477,-0.491319000720978,-0.302811175584793,1,-0.116653010249138,-0.0246709678322077,-0.102924339473248,-0.215236648917198,-0.0187205970287323,-0.0549755915999413,0.766113698482513,-0.0210028439760208,-0.0148645602166653,0.0387653894722462,-0.751520097255707,-0.425119966268539,0.2750284075737,0.39002451300621
