"","smatsscr","smrin","smtspax","sme2mprt","smchmprs","smntrart","smnumgps","smmaprt","smexncrt","sm550nrm","smgnsdtc","smunmprt","sm350nrm","smmncpb","sme1mmrt","smsflgth","smestlbs","smmppd","smnterrt","smrrnanm","smrdttl","smvqcfl","smmncv","smtrscpt","smmppdpr","smcglgth","smgappct","smunpdrd","smntrnrt","smmpunrt","smexpeff","smmppdun","sme2mmrt","sme2anti","smaltalg","sme2snse","smmflgth","sme1anti","smspltrd","smbsmmrt","sme1snse","sme1pcts","smrrnart","sme1mprt","smnum5cd","smdpmprt","sme2pcts"
"sm350nrm",-0.0255181659013033,-0.253285527229309,0.081860713660717,-0.0347992144525051,0.100969977676868,-0.145584151148796,0.0395622774958611,-0.0312052741646767,-0.00179005460813642,-0.157497987151146,0.0185999646782875,-0.234503373503685,1,-0.055851623415947,0.00881900452077389,0.0160369835793972,-0.197881355881691,0.0507310107350349,0.148376926779747,0.230483442544937,0.0593032874166965,-0.0735596418380737,0.202130228281021,-0.0146227842196822,0.0493062511086464,0.0545506663620472,0.0696122646331787,0.0683143138885498,-0.0314723290503025,-0.150447025895119,-0.0146145923063159,-0.0504461713135242,0.0328138098120689,0.0454147681593895,0.0435792617499828,0.0496004074811935,0.0542137660086155,0.0471037589013577,-0.0340079329907894,0.0570796206593513,0.048993181437254,0.0918581038713455,0.213458314538002,-0.0420350879430771,-0.132036879658699,0.234503373503685,0.0647530630230904
"smmncpb",-0.0560466982424259,0.231413438916206,-0.0474722273647785,0.213094130158424,0.771719038486481,0.270018219947815,-0.786487638950348,0.214289665222168,0.201962262392044,0.191575646400452,0.598678171634674,0.0192640479654074,-0.055851623415947,1,0.124832101166248,0.802611768245697,0.659699082374573,0.815652906894684,-0.271653294563293,0.281918495893478,0.655119895935059,0.153835162520409,-0.27551144361496,0.584643602371216,0.822580218315125,-0.67378157377243,-0.66576737165451,0.0514979101717472,-0.161123543977737,0.178289264440536,0.332034379243851,0.964611887931824,-0.149251490831375,0.823698937892914,0.626145362854004,0.820378303527832,0.77079701423645,0.810417354106903,0.85892641544342,-0.134990051388741,0.81248551607132,0.124001458287239,-0.0551405176520348,0.222310051321983,0.69407719373703,-0.0192640479654074,-0.257206827402115
"sme1mmrt",-0.00162926071789116,-0.0363337807357311,-0.0143641158938408,-0.25479781627655,0.12143125385046,-0.0580397211015224,-0.131907343864441,-0.293069303035736,0.0566468574106693,-0.0188600793480873,0.0546234138309956,-0.00249890610575676,0.00881900452077389,0.124832101166248,1,-0.183081611990929,0.0557031333446503,0.0729064047336578,0.0594591163098812,0.115421965718269,0.0830420479178429,0.116004064679146,-0.00648524286225438,0.0295065529644489,0.0675320029258728,-0.133372515439987,-0.140578150749207,0.0633673742413521,-0.0770663544535637,-0.123350597918034,-0.0692935511469841,0.116989001631737,0.400414973497391,0.0740954428911209,0.128093779087067,0.0681231394410133,-0.19675025343895,0.0651824325323105,0.0426524765789509,0.77504563331604,0.0745931342244148,0.279396623373032,0.095078133046627,-0.345357179641724,0.145209401845932,0.00249890610575676,-0.257994443178177
"smsflgth",-0.0240502487868071,0.167744264006615,-0.0254966281354427,0.177369266748428,0.841088891029358,0.189970389008522,-0.60725998878479,0.18162328004837,0.11590464413166,0.141385838389397,0.645022749900818,-0.286025732755661,0.0160369835793972,0.802611768245697,-0.183081611990929,1,0.334050565958023,0.893547177314758,-0.190349414944649,0.403112590312958,0.749247372150421,0.188207015395164,-0.213342785835266,0.61096853017807,0.902164220809937,-0.514975666999817,-0.522188007831573,0.0283770002424717,-0.0789802521467209,-0.067602276802063,0.237253576517105,0.802660584449768,-0.195503041148186,0.89946973323822,0.694413065910339,0.899976789951324,0.980199933052063,0.889045834541321,0.899528026580811,-0.324368357658386,0.887294352054596,0.0260869935154915,-0.00335426069796085,0.187756985425949,0.497214257717133,0.286025732755661,-0.0403142273426056
"smestlbs",-0.100448757410049,0.211813539266586,-0.0940734222531319,0.380057036876678,0.307188719511032,0.246663376688957,-0.686615586280823,0.38848814368248,-0.0674303770065308,0.271275579929352,0.418652981519699,0.67061048746109,-0.197881355881691,0.659699082374573,0.0557031333446503,0.334050565958023,1,0.331372678279877,-0.2501520216465,-0.170141011476517,0.154308021068573,-0.0239245127886534,-0.439374148845673,0.461414605379105,0.340149611234665,-0.631122887134552,-0.61445540189743,-0.0360391810536385,0.124834641814232,0.719242572784424,0.261041104793549,0.68647563457489,-0.285760879516602,0.346061795949936,0.16457012295723,0.338526695966721,0.279896885156631,0.329172164201736,0.406020015478134,-0.250854104757309,0.33148729801178,0.130043908953667,-0.280040949583054,0.418120741844177,0.676638245582581,-0.67061048746109,-0.388457268476486
"smmppd",0.0153369084000587,0.129398256540298,-0.0156264193356037,-0.0309619326144457,0.906389534473419,0.0486261956393719,-0.679398477077484,-0.0337756015360355,-0.0168975405395031,0.149044275283813,0.780580818653107,-0.358621805906296,0.0507310107350349,0.815652906894684,0.0729064047336578,0.893547177314758,0.331372678279877,1,-0.0487687550485134,0.523754835128784,0.904280781745911,0.332119911909103,-0.245977386832237,0.716325581073761,0.998382449150085,-0.586802423000336,-0.607677102088928,0.0640444457530975,0.0364176332950592,-0.180239394307137,0.0306251496076584,0.855174362659454,0.0460592545568943,0.996760904788971,0.823441803455353,0.997754871845245,0.910818696022034,0.99826443195343,0.946127593517303,-0.00844524148851633,0.998145282268524,0.0526512153446674,0.052509356290102,-0.0320022031664848,0.547581493854523,0.358621805906296,-0.0657308027148247
"smnterrt",0.0490878038108349,-0.12039016187191,0.0987401157617569,-0.297699838876724,-0.0173201411962509,-0.999896705150604,0.0994551256299019,-0.301186770200729,-0.424416273832321,-0.110420204699039,0.207902789115906,-0.186959505081177,0.148376926779747,-0.271653294563293,0.0594591163098812,-0.190349414944649,-0.2501520216465,-0.0487687550485134,1,0.325784862041473,0.0779454335570335,0.166666477918625,0.0532448813319206,0.158777847886086,-0.0599971786141396,0.0565432719886303,0.0291583277285099,-0.0132606811821461,0.273124635219574,-0.257142305374146,-0.46937483549118,-0.174277529120445,0.338838338851929,-0.0751207545399666,0.181850746273994,-0.0719649419188499,-0.134864643216133,-0.0542188100516796,-0.176351293921471,0.27083545923233,-0.0587813183665276,-0.240124523639679,0.33451384305954,-0.295827627182007,-0.155501633882523,0.186959505081177,0.225502148270607
"smrrnanm",0.0122927464544773,-0.120373487472534,0.0124142719432712,-0.0973421633243561,0.484437435865402,-0.324117332696915,-0.208859011530876,-0.10760286450386,-0.0385029725730419,-0.0346744395792484,0.3808873295784,-0.547510862350464,0.230483442544937,0.281918495893478,0.115421965718269,0.403112590312958,-0.170141011476517,0.523754835128784,0.325784862041473,1,0.536925196647644,0.244971558451653,0.0246579255908728,0.309561133384705,0.516503751277924,-0.183910593390465,-0.207557693123817,0.0305440574884415,-0.0413793101906776,-0.391113817691803,-0.0667926669120789,0.313373327255249,0.140991717576981,0.510426104068756,0.644461750984192,0.514618515968323,0.457479447126389,0.523043155670166,0.380910962820053,0.140613436698914,0.524189293384552,0.0830505266785622,0.818044304847717,-0.114387340843678,0.108957380056381,0.547510862350464,0.0642087906599045
"smrdttl",0.0861838087439537,0.122551992535591,0.0243496224284172,-0.297479629516602,0.787812888622284,-0.0777320116758347,-0.522267282009125,-0.301955193281174,-0.0777977928519249,0.0706254318356514,0.703615009784698,-0.487131148576736,0.0593032874166965,0.655119895935059,0.0830420479178429,0.749247372150421,0.154308021068573,0.904280781745911,0.0779454335570335,0.536925196647644,1,0.456091016530991,-0.127378150820732,0.623011469841003,0.891527652740479,-0.431717902421951,-0.455510318279266,0.062280710786581,0.0681663304567337,-0.419492721557617,-0.217367008328438,0.698753654956818,0.258389204740524,0.88621199131012,0.825452029705048,0.891862154006958,0.784094095230103,0.908551692962646,0.827592670917511,0.155860096216202,0.904093325138092,-0.128531083464622,0.0267212465405464,-0.297131270170212,0.386335521936417,0.487131148576736,0.129335194826126
"smvqcfl",0.0201059989631176,0.135432511568069,0.0266668796539307,-0.514397799968719,0.249438643455505,-0.166097357869148,-0.119156025350094,-0.456643462181091,-0.0411506481468678,0.0404985398054123,0.324609369039536,-0.210459724068642,-0.0735596418380737,0.153835162520409,0.116004064679146,0.188207015395164,-0.0239245127886534,0.332119911909103,0.166666477918625,0.244971558451653,0.456091016530991,1,0.0365999974310398,0.286778926849365,0.30928960442543,-0.102660834789276,-0.12285290658474,0.0570345222949982,0.0174260027706623,-0.349168479442596,-0.354708611965179,0.185893550515175,0.460215955972672,0.308703541755676,0.494242817163467,0.313225120306015,0.213728368282318,0.343394935131073,0.290904611349106,0.319344222545624,0.343849420547485,-0.0565267503261566,0.0112150134518743,-0.360869765281677,0.0971575900912285,0.210459724068642,0.314323842525482
