"","smatsscr","smrin","smtspax","sme2mprt","smchmprs","smntrart","smnumgps","smmaprt","smexncrt","sm550nrm","smgnsdtc","smunmprt","sm350nrm","smrdlgth","smmncpb","sme1mmrt","smsflgth","smestlbs","smmppd","smnterrt","smrrnanm","smrdttl","smvqcfl","smmncv","smtrscpt","smmppdpr","smcglgth","smgappct","smunpdrd","smntrnrt","smmpunrt","smexpeff","smmppdun","sme2mmrt","sme2anti","smaltalg","sme2snse","smmflgth","sme1anti","smspltrd","smbsmmrt","sme1snse","sme1pcts","smrrnart","sme1mprt","smnum5cd","smdpmprt","sme2pcts"
"smrdlgth",-0.0287073161453009,0.126923263072968,0.134786322712898,-0.10001614689827,-0.134785711765289,-0.106884211301804,0.0532288737595081,-0.104308687150478,-0.128776162862778,0.00643880805000663,-0.123625360429287,0.136502727866173,-0.0618125572800636,1,-0.106025703251362,-0.13006392121315,-0.120845846831799,0.0729731544852257,-0.130493178963661,0.105596445500851,-0.0463594160974026,-0.134785711765289,-0.0991576388478279,-0.0115898540243506,-0.117186337709427,-0.129205405712128,0.0424961447715759,0.0493641942739487,-0.01269765291363,0.127059146761894,-0.0210334397852421,-0.112464509904385,-0.118903316557407,-0.0798412188887596,-0.128776162862778,-0.110747493803501,-0.129634663462639,-0.106030255556107,-0.130922421813011,-0.111176751554012,-0.118474066257477,-0.130922421813011,-0.0982991307973862,0.0472179241478443,-0.104308687150478,-0.0646106824278831,-0.136502727866173,-0.0394913554191589
"smmncpb",-0.198747202754021,0.350236356258392,-0.0882170796394348,0.207360550761223,0.716570854187012,0.272292584180832,-0.7310431599617,0.225916996598244,0.446875095367432,0.168259456753731,0.602516353130341,-0.0926372557878494,-0.12974613904953,-0.106025703251362,1,0.133396565914154,0.799439191818237,0.518251419067383,0.781536221504211,-0.273124605417252,0.323251694440842,0.596585392951965,0.178083166480064,-0.161997184157372,0.631418824195862,0.785846173763275,-0.649332046508789,-0.631490767002106,0.121384017169476,-0.435104221105576,0.0990233048796654,0.480653256177902,0.945391178131104,-0.176609143614769,0.78602522611618,0.554564476013184,0.781858444213867,0.75747674703598,0.778402149677277,0.855329871177673,-0.114320084452629,0.776515424251556,-0.0261158552020788,0.0383199527859688,0.230544120073318,0.683907270431519,0.0926372557878494,-0.193396791815758
"sme1mmrt",0.0212340597063303,-0.0764701887965202,-0.0758450105786324,-0.119120791554451,0.0478067398071289,-0.0548585690557957,-0.14159981906414,-0.134840548038483,0.0641736015677452,0.062454953789711,0.128144398331642,0.00858736410737038,0.0541016012430191,-0.13006392121315,0.133396565914154,1,-0.141508877277374,0.0720442831516266,0.0632368251681328,0.0545666962862015,0.172068819403648,0.0663555040955544,0.113386236131191,0.0307305250316858,0.126870661973953,0.0401660427451134,-0.142855018377304,-0.13621897995472,0.0813598334789276,-0.0804456099867821,-0.0679382830858231,0.0492503605782986,0.128113552927971,0.238900408148766,0.0477759800851345,0.162496343255043,0.0403978563845158,-0.172455623745918,0.0594175718724728,0.0398653782904148,0.666568994522095,0.0669301003217697,0.248315781354904,0.156260430812836,-0.160797104239464,0.145126208662987,-0.00858736410737038,-0.25477322936058
"smsflgth",-0.0662564858794212,0.223245695233345,-0.0303234159946442,0.15282116830349,0.812754690647125,0.199113577604294,-0.570215344429016,0.165799513459206,0.33498552441597,0.0466429032385349,0.648966252803802,-0.375676184892654,-0.0815898701548576,-0.120845846831799,0.799439191818237,-0.141508877277374,1,0.217533618211746,0.895975828170776,-0.199735283851624,0.364958494901657,0.698343515396118,0.196525484323502,-0.0886058956384659,0.646873950958252,0.91878867149353,-0.489335000514984,-0.480156153440475,0.0123303076252341,-0.323951423168182,-0.106122046709061,0.385887175798416,0.795465230941772,-0.142202913761139,0.917397260665894,0.597428798675537,0.918200612068176,0.982438147068024,0.890641629695892,0.88528960943222,-0.245610162615776,0.890231609344482,0.0470747090876102,0.0210570339113474,0.171191781759262,0.496859490871429,0.375676184892654,-0.0635873451828957
"smestlbs",-0.104011937975883,0.131083950400352,-0.0771765783429146,0.395280599594116,0.102524682879448,0.281472474336624,-0.552177131175995,0.418403387069702,0.0544084906578064,0.362157225608826,0.218540787696838,0.687835812568665,-0.189560323953629,0.0729731544852257,0.518251419067383,0.0720442831516266,0.217533618211746,1,0.171364948153496,-0.284805029630661,-0.231463685631752,-0.0271808076649904,-0.0663752853870392,-0.361207634210587,0.273358702659607,0.190894812345505,-0.53406685590744,-0.54213958978653,0.0108254542574286,-0.0151887470856309,0.68615597486496,0.34054434299469,0.55166882276535,-0.445347964763641,0.204190224409103,0.0241998210549355,0.193471863865852,0.164077922701836,0.171393513679504,0.241461336612701,-0.30300772190094,0.172975927591324,-0.0213547013700008,-0.244537174701691,0.437664061784744,0.597669184207916,-0.687835812568665,-0.381026417016983
"smmppd",-0.032614778727293,0.192407816648483,-0.015717264264822,-0.0355608947575092,0.903463304042816,0.0692291930317879,-0.633740186691284,-0.0272800512611866,0.192254558205605,0.0462979376316071,0.785508096218109,-0.492896169424057,-0.0199916511774063,-0.130493178963661,0.781536221504211,0.0632368251681328,0.895975828170776,0.171364948153496,1,-0.0693255066871643,0.518013000488281,0.857297539710999,0.299740731716156,-0.115996614098549,0.750226497650146,0.991571187973022,-0.543849587440491,-0.536933481693268,0.152531996369362,-0.195966154336929,-0.26556596159935,0.167969778180122,0.826786756515503,0.0740771368145943,0.986917734146118,0.755812168121338,0.989003300666809,0.911251306533813,0.993598222732544,0.916989028453827,0.0396090298891068,0.993766665458679,0.0740606561303139,0.0950945541262627,-0.027460228651762,0.488742649555206,0.492896169424057,-0.0296011194586754
"smnterrt",0.110064879059792,-0.10211269557476,0.167734503746033,-0.235219210386276,0.0216308273375034,-0.999682486057281,0.00876612309366465,-0.244695022702217,-0.414477556943893,-0.194492504000664,0.238510310649872,-0.197695046663284,0.269201368093491,0.105596445500851,-0.273124605417252,0.0545666962862015,-0.199735283851624,-0.284805029630661,-0.0693255066871643,1,0.351207047700882,0.0448411367833614,0.0717198178172112,0.0921688675880432,0.158085688948631,-0.0856663659214973,-0.0118702976033092,-0.040014062076807,0.00101964687928557,0.300194829702377,-0.279260545969009,-0.389032602310181,-0.18667271733284,0.257375925779343,-0.107748001813889,0.135401964187622,-0.105176441371441,-0.145540997385979,-0.0851199701428413,-0.231629207730293,0.184143275022507,-0.0830823555588722,-0.0281487125903368,0.388836324214935,-0.262554943561554,-0.120758026838303,0.197695046663284,0.123361557722092
"smrrnanm",0.122983880341053,0.0395291857421398,0.0359713993966579,-0.205079391598701,0.561292231082916,-0.349262446165085,-0.247806265950203,-0.213266491889954,0.0103323766961694,-0.183377891778946,0.477467775344849,-0.538203835487366,0.263679563999176,-0.0463594160974026,0.323251694440842,0.172068819403648,0.364958494901657,-0.231463685631752,0.518013000488281,0.351207047700882,1,0.5365269780159,0.266321092844009,0.142199262976646,0.418504029512405,0.491533130407333,-0.206309571862221,-0.204942792654037,0.163355425000191,-0.0697770491242409,-0.447014629840851,-0.0701992958784103,0.350450456142426,0.318127632141113,0.470420867204666,0.649997413158417,0.475182384252548,0.391806304454803,0.501812756061554,0.392155677080154,0.240243315696716,0.503198862075806,0.0493276305496693,0.824512958526611,-0.22690138220787,0.117616251111031,0.538203835487366,0.0966374203562737
"smrdttl",-0.00160374259576201,0.208074122667313,0.0380075611174107,-0.376942038536072,0.820270359516144,-0.0435689054429531,-0.442122220993042,-0.371102750301361,0.122887670993805,-0.0449762679636478,0.68271803855896,-0.638596057891846,-0.0341377854347229,-0.134785711765289,0.596585392951965,0.0663555040955544,0.698343515396118,-0.0271808076649904,0.857297539710999,0.0448411367833614,0.5365269780159,1,0.481319040060043,-0.0183367263525724,0.633879423141479,0.818583190441132,-0.341188043355942,-0.33134064078331,0.211128517985344,-0.137399286031723,-0.573623061180115,-0.144464299082756,0.62367981672287,0.357950150966644,0.807761907577515,0.781601369380951,0.814380884170532,0.719326913356781,0.861349701881409,0.788851320743561,0.249609246850014,0.855662405490875,-0.0766889825463295,0.0261213481426239,-0.368270456790924,0.268297344446182,0.638596057891846,0.221274495124817
"smvqcfl",0.0740159600973129,0.174756675958633,0.00270505575463176,-0.463694959878922,0.314517110586166,-0.0738654658198357,-0.041491910815239,-0.415492326021194,0.101392351090908,-0.0257869958877563,0.264658629894257,-0.259944558143616,-0.113317757844925,-0.0991576388478279,0.178083166480064,0.113386236131191,0.196525484323502,-0.0663752853870392,0.299740731716156,0.0717198178172112,0.266321092844009,0.481319040060043,1,0.026775773614645,0.256546705961227,0.258800864219666,-0.0106960302218795,0.00277956807985902,0.232478141784668,-0.118082210421562,-0.395220905542374,-0.230470508337021,0.167775690555573,0.433962374925613,0.247408673167229,0.484835058450699,0.253605008125305,0.187634587287903,0.301875740289688,0.313371211290359,0.339529931545258,0.297561019659042,-0.0761023089289665,0.00228920695371926,-0.354426801204681,-0.0366003327071667,0.259944558143616,0.336959838867188
