"","smatsscr","smrin","smtspax","sme2mprt","smchmprs","smntrart","smnumgps","smmaprt","smexncrt","sm550nrm","smgnsdtc","smunmprt","sm350nrm","smmncpb","sme1mmrt","smsflgth","smestlbs","smmppd","smnterrt","smrrnanm","smrdttl","smvqcfl","smmncv","smtrscpt","smmppdpr","smcglgth","smgappct","smunpdrd","smntrnrt","smmpunrt","smexpeff","smmppdun","sme2mmrt","sme2anti","smaltalg","sme2snse","smmflgth","sme1anti","smspltrd","smbsmmrt","sme1snse","sme1pcts","smrrnart","sme1mprt","smnum5cd","smdpmprt","sme2pcts"
"smunmprt",0.0701199620962143,-0.0443813316524029,-0.115190967917442,0.419094413518906,-0.42407813668251,0.202316671609879,-0.16755422949791,0.432747483253479,-0.127788215875626,0.373322129249573,-0.302617698907852,1,-0.196082711219788,-0.0210319068282843,-0.00806470587849617,-0.288999259471893,0.70900821685791,-0.440098196268082,-0.202876478433609,-0.529190957546234,-0.617504239082336,-0.294081330299377,-0.317796856164932,-0.212046802043915,-0.400936990976334,-0.228548973798752,-0.206163316965103,-0.157919153571129,0.175795763731003,0.874589145183563,0.195649325847626,0.00162241351790726,-0.4258052110672,-0.381158202886581,-0.493670582771301,-0.388729363679886,-0.364704996347427,-0.449972957372665,-0.336943536996841,-0.334676206111908,-0.443358331918716,-0.0385978445410728,-0.285171926021576,0.46092426776886,0.354471951723099,-1,-0.263450264930725
"sm350nrm",0.183166772127151,-0.384423166513443,0.0208872724324465,-0.0173423048108816,0.0914514660835266,-0.194176480174065,0.0149489818140864,-0.0222544148564339,-0.180838569998741,-0.304474234580994,0.0666086003184319,-0.196082711219788,1,-0.0924031436443329,-0.0263449903577566,0.0107521312311292,-0.210256740450859,0.0442492291331291,0.198454007506371,0.201659664511681,0.0327730365097523,0.00647113658487797,0.411257296800613,0.00445006554946303,0.0456679500639439,0.076787956058979,0.100380249321461,-0.0503588616847992,0.162192210555077,-0.111728243529797,-0.0921296551823616,-0.0477853491902351,-0.0102056078612804,0.0394314862787724,0.0566950924694538,0.0392516516149044,0.0597099773585796,0.0233366172760725,-0.130889177322388,-0.00755120255053043,0.0290310885757208,0.193780839443207,0.236628085374832,-0.0386516153812408,-0.181686148047447,0.196082711219788,-0.0269525051116943
"smmncpb",0.0471839681267738,0.115259051322937,-0.140350818634033,0.231047928333282,0.661866784095764,0.31954425573349,-0.731813669204712,0.229692593216896,0.353946447372437,0.184314146637917,0.524230718612671,-0.0210319068282843,-0.0924031436443329,1,0.138641223311424,0.784049928188324,0.558954238891602,0.768277943134308,-0.319667816162109,0.219699576497078,0.552557528018951,-0.00787846278399229,-0.245600700378418,0.573219299316406,0.775284349918365,-0.6173255443573,-0.599548757076263,0.0988505408167839,-0.334451496601105,0.136603236198425,0.44021463394165,0.947404026985168,-0.167635276913643,0.780039727687836,0.576701402664185,0.777342975139618,0.741798162460327,0.757862985134125,0.837203502655029,-0.137844607234001,0.76192969083786,0.106166951358318,0.00332815549336374,0.221865758299828,0.577013552188873,0.0210319068282843,-0.273164093494415
"sme1mmrt",0.0154694253578782,-0.0304529182612896,-0.0194062236696482,-0.239286407828331,0.0725219994783401,-0.0213894359767437,-0.143104046583176,-0.276510387659073,0.0465956032276154,-0.0167476087808609,0.101547688245773,-0.00806470587849617,-0.0263449903577566,0.138641223311424,1,-0.198437735438347,0.0708061009645462,0.0570209287106991,0.0215721167623997,0.119014143943787,0.134443461894989,0.190984711050987,-0.00216351496055722,0.115456350147724,0.0175605956465006,-0.152104839682579,-0.139605551958084,0.110362835228443,-0.0682282596826553,-0.13629911839962,-0.0974480807781219,0.131646603345871,0.294822722673416,0.0240794513374567,0.198476791381836,0.0189027562737465,-0.218311101198196,0.0703171715140343,0.0671278908848763,0.708219468593597,0.0686466842889786,0.132551118731499,0.0696494728326797,-0.310958564281464,0.0810035392642021,0.00806470587849617,-0.258796334266663
"smsflgth",0.0475965514779091,0.0768645480275154,-0.0850153788924217,0.241595476865768,0.762565612792969,0.248777687549591,-0.50605320930481,0.241005003452301,0.313829660415649,0.0406916737556458,0.590794801712036,-0.288999259471893,0.0107521312311292,0.784049928188324,-0.198437735438347,1,0.231819525361061,0.866944909095764,-0.248887568712234,0.303627759218216,0.620143413543701,-0.0224138367921114,-0.0993765592575073,0.608067810535431,0.89836972951889,-0.396903902292252,-0.402430862188339,-0.0302976816892624,-0.295378386974335,-0.0441666804254055,0.427623271942139,0.755869925022125,-0.196005314588547,0.903066098690033,0.594566762447357,0.9016193151474,0.975250422954559,0.851365864276886,0.870275497436523,-0.316435694694519,0.856582939624786,0.161959156394005,0.056618832051754,0.221837714314461,0.359481871128082,0.288999259471893,-0.136212587356567
"smestlbs",0.0564522445201874,0.0371741652488708,-0.174857929348946,0.324257999658585,0.14551405608654,0.261463552713394,-0.633425712585449,0.33460995554924,-0.0443727970123291,0.394380390644073,0.251391977071762,0.70900821685791,-0.210256740450859,0.558954238891602,0.0708061009645462,0.231819525361061,1,0.198762387037277,-0.261964231729507,-0.221353679895401,-0.00605698674917221,-0.153683796525002,-0.426976293325424,0.323427349328995,0.210204392671585,-0.601896405220032,-0.583642959594727,0.0393280126154423,0.0951772034168243,0.686022043228149,0.231153324246407,0.610461950302124,-0.311543643474579,0.225480228662491,0.0798732414841652,0.220730856060982,0.170223250985146,0.195312097668648,0.252748936414719,-0.270551353693008,0.199591055512428,-0.0179088674485683,-0.239662453532219,0.361864447593689,0.644541144371033,-0.70900821685791,-0.292690724134445
"smmppd",-0.0164219848811626,0.0920847803354263,-0.058288112282753,-0.0202758964151144,0.853080868721008,0.0832309499382973,-0.59233558177948,-0.0293679647147655,0.0991513282060623,-0.00169577111955732,0.788237929344177,-0.440098196268082,0.0442492291331291,0.768277943134308,0.0570209287106991,0.866944909095764,0.198762387037277,1,-0.0828801915049553,0.449407488107681,0.857171356678009,0.177353724837303,-0.112831644713879,0.749325335025787,0.989146649837494,-0.480122447013855,-0.493474721908569,0.137814998626709,-0.0941612347960472,-0.256732702255249,0.127678528428078,0.811701059341431,0.0912151783704758,0.983943223953247,0.800795674324036,0.986403942108154,0.898238122463226,0.992176711559296,0.888168513774872,0.0319682396948338,0.993081212043762,0.113518737256527,0.104260370135307,-0.0486200600862503,0.346977770328522,0.440098196268082,-0.0669858083128929
"smnterrt",-0.0868613570928574,-0.0607990622520447,0.0663918554782867,-0.316867053508759,0.0456074140965939,-0.999811947345734,0.0818056836724281,-0.323743790388107,-0.597986876964569,-0.222009271383286,0.187641113996506,-0.202876478433609,0.198454007506371,-0.319667816162109,0.0215721167623997,-0.248887568712234,-0.261964231729507,-0.0828801915049553,1,0.497645795345306,0.105242863297462,0.146470189094543,0.128696650266647,0.0369530133903027,-0.113205008208752,0.028581153601408,-0.0309262778609991,0.142145171761513,0.479706645011902,-0.296423077583313,-0.588657259941101,-0.187174379825592,0.293227016925812,-0.148356467485428,0.205279469490051,-0.143331825733185,-0.195979252457619,-0.1049914509058,-0.307234406471252,0.205837845802307,-0.112360328435898,-0.151403665542603,0.524523496627808,-0.338515728712082,-0.127926215529442,0.202876478433609,0.168598175048828
"smrrnanm",0.0126373255625367,-0.0618844516575336,0.0105156591162086,-0.21000924706459,0.451506942510605,-0.497142255306244,-0.198828384280205,-0.227074861526489,-0.11029064655304,-0.252072721719742,0.42024177312851,-0.529190957546234,0.201659664511681,0.219699576497078,0.119014143943787,0.303627759218216,-0.221353679895401,0.449407488107681,0.497645795345306,1,0.53503429889679,0.171087354421616,0.172401398420334,0.329307705163956,0.418071329593658,-0.139550536870956,-0.167774870991707,0.18443737924099,0.0216953288763762,-0.464448988437653,-0.196193099021912,0.284663408994675,0.247850731015205,0.391045093536377,0.6519495844841,0.3973129093647,0.357169210910797,0.434751629829407,0.261008083820343,0.181700348854065,0.430363357067108,-0.0081907669082284,0.877055883407593,-0.257205605506897,0.0138543788343668,0.529190957546234,0.105894528329372
"smrdttl",-0.0931377187371254,0.150338381528854,0.0287533178925514,-0.391114175319672,0.795319557189941,-0.105484299361706,-0.38900825381279,-0.40380933880806,0.0194582790136337,-0.12422538548708,0.742184400558472,-0.617504239082336,0.0327730365097523,0.552557528018951,0.134443461894989,0.620143413543701,-0.00605698674917221,0.857171356678009,0.105242863297462,0.53503429889679,1,0.403100311756134,-0.00631142407655716,0.6670041680336,0.800903558731079,-0.282556742429733,-0.300240516662598,0.23360250890255,-0.045047614723444,-0.580874621868134,-0.219492673873901,0.597695231437683,0.403178304433823,0.780004858970642,0.880681037902832,0.788597285747528,0.663596212863922,0.874790012836456,0.737415432929993,0.290039896965027,0.866263747215271,-0.107031218707561,0.11384741961956,-0.419927686452866,0.114709720015526,0.617504239082336,0.189163237810135
